"recurso","clase","titulo","tipo_dato","descripcion","ejemplo","estandar_mapeo","notas"
"Crimen","Crimen","crimen_fecha","fecha","Fecha del crimen","2018-02-02","Schema:DateTime",""
"Crimen","Crimen","crimen_hora","hora","Hora del crimen","22:35","Schema:DateTime",""
"Crimen","Crimen","crimen_region","alfanumérico","Zona, región, provincia, departamento","Buenos Aires","Schema:PostalAddress",""
"Crimen","Crimen","crimen_ciudad","alfanumérico","Ciudad donde se perpetro el crimen","Bahia Blanca","Schema:PostalAddress",""
"Crimen","Crimen","crimen_barrio","alfanumérico","Nombre del barrio donde se produce el hecho","Bella Vista","Schema:PostalAddress",""
"Crimen","Crimen","crimen_codigo_postal","alfanumérico","Codigo postal del lugar donde se produce el hecho","B8000","Schema:PostalAddress",""
"Crimen","Crimen","crimen_seccional","alfanumérico","Identificación de la sección policial donde ocurrió el hecho.","5","Schema:Thing",""
"Crimen","Crimen","crimen_lugar","alfanumérico","Dirección; calle, numero , esquinas","San Lorenzo esq. Garay","Schema:PostalAddress",""
"Crimen","Crimen","crimen_latitude","numérico","Coordenadas geograficas expresadas en latitud","-387.169.673","Schema:GeoCoordinates",""
"Crimen","Crimen","crimen_longitud","numérico","Coordenadas geogrñaficas expresadas en longitud","-622.486.776","Schema:GeoCoordinates",""
"Crimen","Crimen","crimen_tipo","alfanumérico","Tipo de crimen","Homicidio","Schema:Thing",""
"Crimen","Crimen","crimen_descripcion","texto","Detalles del crimen","","Schema:Thing",""
"Crimen","Crimen","crimen_id_caso","alfanumérico","Identificación del caso. Puede haber un caso con muchos incidentes.","865542","Schema:Thing",""
"Crimen","Crimen","crimen_id_incidente","alfanumérico","Identificación del incidente","2336","Schema:Thing",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_anio","alfanumérico","Año en que se recoge la información estadística a publicar","2018","Schema:Date",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_mes","alfanumérico","Mes en que se recoge la información estadistica a publicar","6","Schema:Date",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_provincia","alfanumérico","Nombre de la provincia donde se produce el hecho","Buenos Aires","Schema:PostalAddress",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_departamento","alfanumérico","Nombre del departamento donde se produce el hecho","Bahia Blanca","Schema:PostalAddress",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_localidad","alfanumérico","Nombre de la localidad donde se produce el hecho","Bahia Blanca","Schema:PostalAddress",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_barrio","alfanumérico","Nombre del barrio donde se produce el hecho","Bella Vista","Schema:PostalAddress",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_tipo_delito","alfanumérico","Tipificación del delito","Homicidio","Schema:Thing",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_genero_victima","alfanumérico","Genero de la victima","Mujer","Schema:Person",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_genero_victimario","alfanumérico","Genero del victimario","Varón","Schema:Person",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_edad_victima","alfanumérico","Las edades pueden ser exactas 20, 25 o por rangos, entre 0 y 10; entre 10 y 25, etc","45","Schema:Person",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_edad_victimario","alfanumérico","Las edades pueden ser exactas 20, 25 o por rangos, entre 0 y 10; entre 10 y 25, etc","48","Schema:Person",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_vinculo_victima_victimario","alfanumérico","Vinculo si existia entre la victima y el victimario, generalmente aplica a casos de violencia familiar o de genero","Pareja","vCard:related:type_value",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_situacion_victimario","alfanumérico","Situación actual del victimario","Suicidio","Schema:Thing",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_cantidad","alfanumérico","Cantidad en numeros de casos","2","Schema:Thing",""
