"recurso","clase","titulo","tipo_dato","descripcion","ejemplo","estandar_mapeo","notas"
"Crimen","Crimen","crimen_fecha","fecha","Fecha del crimen","","Schema:DateTime",""
"Crimen","Crimen","crimen_hora","hora","Hora del crimen","","Schema:DateTime",""
"Crimen","Crimen","crimen_region","alfanumérico","Zona, región, provincia, departamento","","Schema:PostalAddress",""
"Crimen","Crimen","crimen_ciudad","alfanumérico","Ciudad donde se perpetro el crimen","","Schema:PostalAddress",""
"Crimen","Crimen","crimen_barrio","alfanumérico","Nombre del barrio donde se produce el hecho","","Schema:PostalAddress",""
"Crimen","Crimen","crimen_codigo_postal","alfanumérico","Codigo postal del lugar donde se produce el hecho","","Schema:PostalAddress",""
"Crimen","Crimen","crimen_seccional","alfanumérico","Identificación de la sección policial donde ocurrió el hecho.","","Schema:Thing",""
"Crimen","Crimen","crimen_lugar","alfanumérico","Dirección; calle, numero , esquinas","","Schema:PostalAddress",""
"Crimen","Crimen","crimen_latitude","numérico","Coordenadas geograficas expresadas en latitud","","Schema:GeoCoordinates",""
"Crimen","Crimen","crimen_longitud","numérico","Coordenadas geogrñaficas expresadas en longitud","","Schema:GeoCoordinates",""
"Crimen","Crimen","crimen_tipo","alfanumérico","Tipo de crimen","","Schema:Thing",""
"Crimen","Crimen","crimen_descripcion","texto","Detalles del crimen","","Schema:Thing",""
"Crimen","Crimen","crimen_id_caso","alfanumérico","Identificación del caso. Puede haber un caso con muchos incidentes.","","Schema:Thing",""
"Crimen","Crimen","crimen_id_incidente","alfanumérico","Identificación del incidente","","Schema:Thing",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_anio","alfanumérico","Año en que se recoge la información estadística a publicar","","Schema:Date",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_mes","alfanumérico","Mes en que se recoge la información estadistica a publicar","","Schema:Date",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_provincia","alfanumérico","Nombre de la provincia donde se produce el hecho","","Schema:PostalAddress",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_departamento","alfanumérico","Nombre del departamento donde se produce el hecho","","Schema:PostalAddress",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_localidad","alfanumérico","Nombre de la localidad donde se produce el hecho","","Schema:PostalAddress",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_barrio","alfanumérico","Nombre del barrio donde se produce el hecho","","Schema:PostalAddress",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_tipo_delito","alfanumérico","Tipificación del delito","","Schema:Thing",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_genero_victima","alfanumérico","Genero de la victima","","Schema:Person",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_genero_victimario","alfanumérico","Genero del victimario","","Schema:Person",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_edad_victima","alfanumérico","Las edades pueden ser exactas 20, 25 o por rangos, entre 0 y 10; entre 10 y 25, etc","","Schema:Person",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_edad_victimario","alfanumérico","Las edades pueden ser exactas 20, 25 o por rangos, entre 0 y 10; entre 10 y 25, etc","","Schema:Person",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_vinculo_victima_victimario","alfanumérico","Vinculo si existia entre la victima y el victimario, generalmente aplica a casos de violencia familiar o de genero","","vCard:related:type_value",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_situacion_victimario","alfanumérico","Situación actual del victimario","","Schema:Thing",""
"Estadísticas Crimen","Estadísticas Crimen","estadistica_cantidad","alfanumérico","Cantidad en numeros de casos","","Schema:Thing",""
