"recurso","clase","titulo","tipo_dato","descripcion","ejemplo","estandar_mapeo","notas"
"Establecimiento","Establecimiento","establecimiento_id","alfanumérico","Identificación del establecimiento educativo","322255","CEDS:K12School",""
"Establecimiento","Establecimiento","establecimiento_nombre","alfanumérico","Nombre del establecimiento educativo en caso de que tenga","Bandera Argentina","CEDS:K12School",""
"Establecimiento","Establecimiento","establecimiento_numero","numérico","Numero del establecimiento educativo en caso de que tenga","25","CEDS:K12School",""
"Establecimiento","Establecimiento","establecimiento_direccion","alfanumérico","Dirección, numero de puerta","Letonia esq. Combate de Costa Brava","CEDS:K12School",""
"Establecimiento","Establecimiento","establecimiento_ciudad","alfanumérico","Ciudad del establecimiento","Buenos Aires","CEDS:K12School",""
"Establecimiento","Establecimiento","establecimiento_zona","alfanumérico","Provincia, Departamento","Retiro","CEDS:K12School",""
"Establecimiento","Establecimiento","establecimiento_latitud","numérico","","-34.9059072","CEDS:K12School",""
"Establecimiento","Establecimiento","establecimiento_longitud","numérico","","-58.3830589","CEDS:K12School",""
"Establecimiento","Establecimiento","establecimiento_codigo_postal","alfanumérico","","C1416","CEDS:K12School",""
"Establecimiento","Establecimiento","establecimiento_url","alfanumérico","URL a la pagina web del centro educativo","http://esc25de1.blogspot.com/","CEDS:K12School",""
"Establecimiento","Establecimiento","establecimiento_telefono","alfanumérico","Telefono del centro educativo","(54) 11 4312-7793","CEDS:K12School",""
"Establecimiento","Establecimiento","establecimiento_email","alfanumérico","Correo electronico institucional del establecimiento","","CEDS:K12School",""
"EstudianteRendimiento","Estudiante","estudiante_id","alfanumérico","Idenitficacion unica del estudiante, identificación interna del sistema de registro no pudiendo ser su DNI o similar","256326","CEDS:K12Student",""
"EstudianteRendimiento","Estudiante","estudiante_genero","alfanumérico","Identificación de genero del estudiante o sexo","Mujer","CEDS:K12Student",""
"EstudianteRendimiento","Estudiante","estudiante_fecha_nacimiento","alfanumérico","Fecha de nacimiento, con el objeto de anonimizar los datos se podría tomar solamente mes y año","2012-03","CEDS:K12Student",""
"EstudianteRendimiento","Estudiante","estudiante_etnia_raza","alfanumérico","Ascendencia racial o etnica","Caucasico","CEDS:K12Student",""
"EstudianteRendimiento","Rendimiento","rendimiento_anio","alfanumérico","Año en el cual se registra el rendimiento del alumno","2018","CEDS:Course",""
"EstudianteRendimiento","Rendimiento","rendimiento_establecimiento_id","alfanumérico","Identificación del establecimiento","322255","CEDS:K12Course",""
"EstudianteRendimiento","Rendimiento","rendimiento_curso_id","alfanumérico","Idenitficación del curso, este dato es opcional en el caso de que posibilite la identificación de alumnos se debe evitar","3A","CEDS:K12Course",""
"EstudianteRendimiento","Rendimiento","rendimiento_curso_nombre","alfanumérico","Nombre del curso","3er año primaria","CEDS:K12Course",""
"EstudianteRendimiento","Rendimiento","rendimiento_clase_id","alfanumérico","Identificación de la clase, aplica a niveles secundarios y superiores, este dato es opcional en el caso de que posibilite la identificación de alumnos se debe evitar","","CEDS:K12Course",""
"EstudianteRendimiento","Rendimiento","rendimiento_asistencias","alfanumérico","Cantidad de asistencias en el año del estudiante","230","CEDS:K12Attendance",""
"EstudianteRendimiento","Rendimiento","rendimiento_faltas","alfanumérico","Cantidad de faltas en el año del estudiante","20","CEDS:K12Attendance","El estandar establece el campo créditos"
"EstudianteRendimiento","Rendimiento","rendimiento_calificacion","alfanumérico","Calificación obtenida por el estudiante al finalizar el año","8","CEDS:K12Attendance",""
