"recurso","clase","titulo","tipo_dato","descripcion","ejemplo","estandar_mapeo","notas"
"Organigrama","Organización","organizacion_id","alfanumérico","Debe ser un identificador único para la organización","2","popolo:Organization","Se puede utilizar una codificacion en base al presupuesto; ej: Código jurisdicccion:+código sub jurisdicción:+ ..."
"Organigrama","Organización","organizacion_nombre","alfanumérico","El nombre principal de la organización, por ejemplo su nombre legal","Ministerio de Modernización","popolo:Organization",""
"Organigrama","Organización","organizacion_clasificacion","alfanumérico","La clasificación de la organización, por ejemplo ""Poder Ejecutivo""","Poder Ejecutivo","popolo:Organization","Ej: Poder Ejecutivo / Poder Judicial / Empresa Publica / etc."
"Organigrama","Organización","organizacion_padre_id","alfanumérico","Debe referenciar al id de la organización de la cual esta depende. Por ejemplo la Presidencia de la Nación depende del Poder Ejecutivo.","1","popolo:Organization",""
"Organigrama","Organización","organizacion_area","alfanumérico","Indica el área geografica donde se ubica la organizacion","Argentina","popolo:Organization","Se podría ampliar este campo a Provincia, Localidad o Codigo Postal"
"Organigrama","Organización","organizacion_fecha_creacion","fecha","Fecha en que fue creada la organización","2015-06-01","popolo:Organization",""
"Organigrama","Organización","organizacion_fecha_final","fecha","Fecha en que dejo de existir la organización","","popolo:Organization",""
"Organigrama","Organización","organizacion_imagen","uri","Logo de la organización, url a la imagen de la organización","https://www.argentina.gob.ar/profiles/argentinagobar/themes/argentinagobar/argentinagobar_theme/logo.svg","popolo:Organization","URL a logo o imagen que identifica a la organización"
"Organigrama","Organización","organizacion_contactos","alfanumérico","Datos de contacto de la organización.","(54-011) 5985-8700 / 4343-9001","popolo:Organization",""
"Organigrama","Organización","organizacion_direccion","alfanumérico","Dirección de la organización","https://www.argentina.gob.ar/modernizacion","schema:PostalAddress","Calle, Nro utilizar combinado con organizacion_area"
"Organigrama","Organización","organizacion_latitud","numerico","Coordenadas geográficas de la ubicación de la organización","Av. Roque Sáenz Peña 511 (Entrepiso) - CABA","schema:GeoCoordinates","Opcional"
"Organigrama","Organización","organizacion_longitud","numerico","Coordenadas geográficas de la ubicación de la organización","-34.607617","schema:GeoCoordinates","Opcional"
"Organigrama","Organización","organizacion_enlaces","uri","Elaces externos que contengan información sobre la organización. Se puede tener mas de un enlace, por lo que se podria diferenciar cada campo con una secuencia de numeros; ej: organización_enlaces_1, … , organización_enlaces_n","-58.373771","popolo:Organization",""
