"recurso","clase","titulo","tipo_dato","descripcion","ejemplo","estandar_mapeo","notas"
"Presupuesto","Organización","organizacion_id","alfanumérico","Identificador único para la organización.","2","popolo:Organization",""
"Presupuesto","Organización","organizacion_nombre","alfanumérico","Nombre principal de la organización. Por ejemplo: su nombre legal u oficial.","Ministerio de Modernización","popolo:Organization",""
"Presupuesto","Organización","organizacion_clasificacion","alfanumérico","La clasificación de la organización. Por ejemplo: ""Poder Ejecutivo"".","Poder Ejecutivo","popolo:Organization",""
"Presupuesto","Presupuesto","gift_fecha","fecha","Fecha de publicación del presupuesto o fecha en la que se aprueba el presupuesto.","2019-01-01","gift - openspending",""
"Presupuesto","Presupuesto","gift_clasificacion_economica","alfanumérico","Identifica el tipo de presupuesto e ingresos o gastos incurridos. Por ejemplo: salarios, bienes y servicios, transferencias y pagos de intereses, o gastos de capital.","Salarios","gift - openspending",""
"Presupuesto","Presupuesto","gift_clasificacion_funcional","alfanumérico","Gastos o ingresos según los fines y objetivos para los que están destinados.","Pago de salarios","gift - openspending",""
"Presupuesto","Presupuesto","gift_descripción","alfanumérico","Descripción o detalle del gasto, ingreso o partida presupuestaria.","Pago de salarios Diciembre 2018","gift - openspending",""
"Presupuesto","Presupuesto","gift_actividad","alfanumérico","Utilícela cuando tenga una columna de datos sobre el contrato / programa / proyecto que se está financiando.","Proyecto BID - 26548","gift - openspending",""
"Presupuesto","Presupuesto","gift_administrador","alfanumérico","Autoridad que gasta o a la que le ingresa el dinero.","Ministerio de Modernización","gift - openspending",""
"Presupuesto","Presupuesto","gift_procurador","alfanumérico","Entidad gubernamental que actúa como gestor de la transacción, si es diferente de la institución que controla el proyecto.","","gift - openspending",""
"Presupuesto","Presupuesto","gift_destinatario","alfanumérico","Destinatario (si existe) al que se dirige el elemento de ingreso.","Banco Nación","gift - openspending",""
"Presupuesto","Presupuesto","gift_proveedor","alfanumérico","Destinatario del gasto.","SACE S.R.L","gift - openspending",""
"Presupuesto","Presupuesto","gift_transferencias","alfanumérico","Propiedades adicionales con respecto a si el gasto o ingreso contiene transferencias presupuestarias.","No","gift - openspending",""
"Presupuesto","Presupuesto","gift_destino_presupestal","alfanumérico","Especifica si los valores en esta línea son egresos o ingresos.","Egresos","gift - openspending",""
"Presupuesto","Presupuesto","gift_tipo_presupuesto","alfanumérico","Atributos adicionales que proporcionan más propiedades.","Gasto","gift - openspending",""
"Presupuesto","Presupuesto","gift_fuente_financiera","alfanumérico","Fuente financiera de los fondos presupuestarios.","BID","gift - openspending",""
"Presupuesto","Presupuesto","gift_fase","alfanumérico","Identificador de fase para los valores en esta línea (por ejemplo, aprobado, ejecutado, etc.).","Aprobado","gift - openspending",""
"Presupuesto","Presupuesto","gift_informacion_geografica","alfanumérico","Puede ser una dirección, un código de área, una descripción, etc.","Buenos Aires","gift - openspending",""
"Presupuesto","Presupuesto","gift_identificador_línea_presupuestal","alfanumérico","Identificador único para esta línea de presupuesto.","3427","gift - openspending",""
"Presupuesto","Presupuesto","gift_identificador_factura","alfanumérico","Número de factura dado por el proveedor","A32666","gift - openspending",""
"Presupuesto","Presupuesto","gift_importe","numerico","Importe o valor del gasto o ingreso (obligatorio).","1500000","gift - openspending",""
"Presupuesto","Presupuesto","gift_otros","texto","Notas o comentarios adicionales.","","gift - openspending",""
