"recurso","clase","titulo","tipo_dato","descripcion","ejemplo","estandar_mapeo","notas"
"Organizacion","Organizacion","organizacion_id","alfanumerico","Debe ser un identificador único para la organización","2222","popolo:Organization","Se puede utilizar una codificacion en base al presupuesto; ej: Código jurisdicccion:+código sub jurisdicción:+ ..."
"Organizacion","Organizacion","organizacion_nombre","alfanumerico","El nombre principal de la organización, por ejemplo su nombre legal","Hospital Pirovano","popolo:Organization",""
"Organizacion","Organizacion","organizacion_clasificacion","alfanumerico","La clasificación de la organización","Hospital General","popolo:Organization","Indicar la especialidad del centro de salud"
"Organizacion","Organizacion","organizacion_padre_id","alfanumerico","Debe referenciar al id de la organización de la cual esta depende. Por ejemplo si es un sanatorio que depende de otra institución mayor","0","popolo:Organization",""
"Organizacion","Organizacion","organizacion_area","alfanumerico","Indica el área geografica donde se ubica la organizacion","CABA, Republica Argentina","popolo:Organization","Se podría ampliar este campo a Provincia, Localidad o Codigo Postal"
"Organizacion","Organizacion","organizacion_fecha_creacion","fecha","Fecha en que fue creada la organización","1896-07-12","popolo:Organization",""
"Organizacion","Organizacion","organizacion_imagen","uri","","","popolo:Organization","URL a logo o imagen que identifica a la organización"
"Organizacion","Organizacion","organizacion_contactos","alfanumerico","Mecanismos de contacto con las institución","contacto@hospitalpirovano.org","popolo:Organization",""
"Organizacion","Organizacion","organizacion_direccion","uri","","Av. Monroe 3555","popolo:Organization",""
"Organizacion","Organizacion","organizacion_enlaces","alfanumerico","URL a la pagina web del centro educativo","https://www.buenosaires.gob.ar/hospitalpirovano","schema:PostalAddress","Calle, Nro utilizar combinado con organizacion_area"
"Organizacion","Organizacion","organizacion_latitud","numerico","Telefono del centro educativo","","schema:GeoCoordinates","Opcional"
"Organizacion","Organizacion","organizacion_longitud","numerico","Correo electronico institucional del establecimiento","","schema:GeoCoordinates","Opcional"
"Indicador","Indicador","indicador_anio","numerico","Año en el cual se registra el indicador","2018","schema:Date",""
"Indicador","Indicador","indicador_organizacion_id","alfanumérico","Identificación del establecimiento de salud","2222","popolo:Organization",""
"Indicador","Indicador","indicador_nombre","alfanumérico","Identificación del indicador","Cantidad de camas","schema:QuantitativeValueDistribution",""
"Indicador","Indicador","indicador_descripcion","texto","Descripción de indicador, se puede complementar con información sobre como se relevan los datos.","Cantidad de camas cada 1000 personas","schema:QuantitativeValueDistribution",""
"Indicador","Indicador","indicador_periodicidad","alfanumérico","Cada cuanto tiempo se releva el indicador","Anual","schema:QuantitativeValueDistribution",""
"Indicador","Indicador","indicador_ultima_medicion","fecha","Ultima fecha en que se obtuvo el indicador","2018-12-31","schema:Date",""
"Indicador","Indicador","indicador_unidad_medida","alfanumérico","Unidad de medida","Cantidad de camas","schema:QuantitativeValueDistribution",""
"Indicador","Indicador","indicador_valor","numerico","Valor en numeros del indicador","5","schema:QuantitativeValueDistribution",""
"Indicador","Indicador","indicador_forma_calculo","alfanumérico","Especificar como se calcula el indicador, si se calcula en base a datos de otras fuentes.","Se calcula la cantidad de camas disponibles de acuerdo a la cantidad de afiliados y se pondera el resultado para llevarlo a un valor equivalente sobre una poblacion de 1000 personas.","schema:QuantitativeValueDistribution",""
