"recurso","clase","titulo","tipo_dato","descripcion","ejemplo","estandar_mapeo","notas"
"Servicio","Organización","organizacion_id","alfanumerico","Debe ser un identificador único para la organización. Se puede utilizar una codificacion en base al presupuesto; ej: Código jurisdicccion:+código sub jurisdicción:+ ...","325","popolo:Organization
 schema:Organization",""
"Servicio","Organización","organizacion_nombre","alfanumerico","El nombre principal de la organización, por ejemplo su nombre legal","Municipio de Bahia Blanca","popolo:Organization
 schema:Organization",""
"Servicio","Servicio","servicio_id","alfanumerico","Identificador del servicio","","schema:Thing",""
"Servicio","Servicio","servicio_nombre","alfanumerico","Nombre del servicio","Poda","schema:Thing",""
"Servicio","Servicio","servicio_proveedor","alfanumerico","Area que brinda el servicio dentro de la organización","Arbolado urbano","schema:Service",""
"Servicio","Servicio","servicio_contacto","alfanumerico","Punto de contacto del area que brinda el servicio dentro de la organización","Parque de Mayo s/n - 2914880350","schema:Organization",""
"Servicio","Servicio","servicio_descripcion","texto","Descripción del servicio","Los vecinos deben solicitar al municipio autorización para podar o extraer un árbol. Para ello, ingresando al Centro de Atención al Vecino en la web del Municipio de Bahía Blanca, el vecino puede solicitar un turno para la realización del trabajo, justificando los motivos de la solicitud (interferencia peatonal, interferencia vehicular, interferencia con luminarias o carteles, riesgo de caída de ramas, etc.), indicando, además, la dirección de referencia para intervención, las observaciones que quiera formular e, incluso, puede adjuntar una foto del árbol a intervenir.","schema:Thing",""
"Servicio","Servicio","servicio_fecha_inicio","fecha","Fecha de inicio servicio","2019-03-01","schema:Demand:availabilityStarts",""
"Servicio","Servicio","servicio_fecha_fin","fecha","Fecha de fin del servicio","2019-09-30","schema:Demand:availabilityEnds",""
"Servicio","Servicio","servicio_dias_semana","alfanumerico","Dias de la semana en que se brinda el servicio","Lunes a Viernes","schema:OpeningHours",""
"Servicio","Servicio","servicio_hora inicio","hora","","8:00","schema:OpeningHours",""
"Servicio","Servicio","servicio_hora_fin","hora","","17:00","schema:OpeningHours",""
"Servicio","Servicio","servicio_costo","alfanumerico","Costo asociado al servicio","Sin costo","schema:QuantitativeValue",""
"Servicio","Servicio","servicio_enlace","URI","URL a sitio web con información adicional o dónde se puede solicitar el servicio","https://www.bahia.gob.ar/arbolado/poda/","schema:Thing",""
"Servicio","Servicio","servicio_enlace_descripcion","texto","Descripción del contenido a obtener del enlace","https://www.bahia.gob.ar/arbolado/poda/","schema:Thing",""
"Servicio","Servicio","servicio_tramite_inicio_id","alfanumerico","Identificación del trámite que asociado al servicio","333","schema:Thing","En caso de que el servicio requiera el inicio de un tramite se identifica el tramite relacionado"
"Servicio","Servicio","servicio_tramite_nombre","alfanumerico","","Poda de árbol, extracción de árbol o corte de raíz.","schema:Thing",""
