"recurso","clase","titulo","tipo_dato","descripcion","ejemplo","estandar_mapeo","notas"
"Estaciones de Medición de la Calidad del Agua","Estación","estacion_id","alfanumerico","Identificación de la estación.","1001","schema:Thing",""
"Estaciones de Medición de la Calidad del Agua","Estación","estacion_nombre","alfanumerico","Nombre de la estación.","Chapelco","schema:Thing",""
"Estaciones de Medición de la Calidad del Agua","Estación","estacion_region","alfanumerico","Nombre del país/provincia o localidad.","San Martin de Los Andes","schema:Place",""
"Estaciones de Medición de la Calidad del Agua","Estación","estacion_latitud","fecha","Coordenadas geograficas.","-40.180854","schema:GeoCoordinates","Fecha de registro de la parcela"
"Estaciones de Medición de la Calidad del Agua","Estación","estacion_longitud","numerico","Coordenadas geograficas.","-71.318434","schema:GeoCoordinates",""
"Estaciones de Medición de la Calidad del Agua","Estación","estacion_zonahoraria","texto","Campo opcional para indicar la zona horaria.","UTC-3","schema:BroadcastService","Descripción de las estructuras edificadas"
"Estaciones de Medición de la Calidad del Agua","Estación","estacion_tipo","texto","Describe si la estación es superficial o de profundidad.","Agua Superficial - Fondo","schema:Thing",""
"Estaciones de Medición de la Calidad del Agua","Estación","estacion_cuenca","alfanumerico","Nombre de la cuenca.","Lago Lacar","schema:Place",""
"Estaciones de Medición de la Calidad del Agua","Estación","estacion_subcuenca","alfanumerico","Nombre de la subcuenca.","","schema:Place",""
"Estaciones de Medición de la Calidad del Agua","Estación","estacion_fecha_desde","fecha","Fecha de inicio de la medición.","2010-01-06","schema:Date",""
"Estaciones de Medición de la Calidad del Agua","Estación","estacion_fecha_hasta","fecha","Ultima fecha de medición.","2019-03-29","schema:Date",""
"Estaciones de Medición de la Calidad del Agua","Estación","estacion_muestreos","numerico","Cantidad de muestreos realizados en el período.","834","schema:Thing",""
"Elementos Contaminantes del Agua","Contaminante","contaminante_estacion_id","alfanumerico","Identificación de la estación.","1001","schema:Thing",""
"Elementos Contaminantes del Agua","Contaminante","contaminante_cuenca","alfanumerico","Nombre de la cuenca.","Lago Lacar","schema:Place",""
"Elementos Contaminantes del Agua","Contaminante","contaminante_subcuenca","alfanumerico","Nombre de la subcuenca.","","schema:Place",""
"Elementos Contaminantes del Agua","Contaminante","contaminante_nombre","alfanumerico","Nombre del contaminante que se esta midiendo.","Potencial de hidrogeno","schema:Thing",""
"Elementos Contaminantes del Agua","Contaminante","contaminante_unidad","alfanumerico","Unidad de medida en que se establece el valor.","","schema:Thing",""
"Elementos Contaminantes del Agua","Contaminante","contaminante_actualizado","fecha","Fecha y hora de actualizado el valor.","2019-03-29","schema:Date",""
"Elementos Contaminantes del Agua","Contaminante","contaminante_valor","numerico","Valor obtenido en la medición.","7.1","schema:Thing",""
"Elementos Contaminantes del Agua","Contaminante","contaminante_validez","alfanumerico","Indica la duración de validez del dato.","5 días","schema:Thing",""
