"recurso","clase","titulo","tipo_dato","descripcion","ejemplo","estandar_mapeo","notas"
"Crímenes","Crimen","crimen_fecha","fecha","Fecha del crimen","2018-02-02","Schema:DateTime",""
"Crímenes","Crimen","crimen_hora","hora","Hora del crimen","22:35","Schema:DateTime",""
"Crímenes","Crimen","crimen_region","alfanumérico","Zona, región, provincia, departamento","Buenos Aires","Schema:PostalAddress",""
"Crímenes","Crimen","crimen_ciudad","alfanumérico","Ciudad donde se perpetro el crimen","Bahia Blanca","Schema:PostalAddress",""
"Crímenes","Crimen","crimen_barrio","alfanumérico","Nombre del barrio donde se produce el hecho","Bella Vista","Schema:PostalAddress",""
"Crímenes","Crimen","crimen_codigo_postal","alfanumérico","Codigo postal del lugar donde se produce el hecho","B8000","Schema:PostalAddress",""
"Crímenes","Crimen","crimen_seccional","alfanumérico","Identificación de la sección policial donde ocurrió el hecho.","5","Schema:Thing",""
"Crímenes","Crimen","crimen_lugar","alfanumérico","Dirección; calle, numero , esquinas","San Lorenzo esq. Garay","Schema:PostalAddress",""
"Crímenes","Crimen","crimen_latitud","numérico","Coordenadas geograficas expresadas en latitud","-38.7169673","Schema:GeoCoordinates",""
"Crímenes","Crimen","crimen_longitud","numérico","Coordenadas geogrñaficas expresadas en longitud","-62.2486776","Schema:GeoCoordinates",""
"Crímenes","Crimen","crimen_tipo","alfanumérico","Tipo de crimen","Homicidio","Schema:Thing",""
"Crímenes","Crimen","crimen_descripcion","texto","Detalles del crimen","","Schema:Thing",""
"Crímenes","Crimen","crimen_id_caso","alfanumérico","Identificación del caso. Puede haber un caso con muchos incidentes.","865542","Schema:Thing",""
"Crímenes","Crimen","crimen_id_incidente","alfanumérico","Identificación del incidente","2336","Schema:Thing",""
"Estadísticas Criminales","Indicador Criminal","mes","alfanumérico","Año y mes en que se recoge la información según ISO 8601 (YYYY-MM).","2018-02","Schema:Date",""
"Estadísticas Criminales","Indicador Criminal","provincia_id","alfanumérico","Identificador oficial de la provincia donde de produce el hecho.","Buenos Aires","Schema:PostalAddress",""
"Estadísticas Criminales","Indicador Criminal","provincia_nombre","alfanumérico","Nombre de la provincia donde se produce el hecho.","","",""
"Estadísticas Criminales","Indicador Criminal","departamento_id","alfanumérico","Identificador oficial del departamento donde de produce el hecho.","Bahia Blanca","Schema:PostalAddress",""
"Estadísticas Criminales","Indicador Criminal","departamento_nombre","alfanumérico","Nombre del departamento donde se produce el hecho.","","",""
"Estadísticas Criminales","Indicador Criminal","localidad_id","alfanumérico","Identificador oficial de la localidad donde de produce el hecho.","Bahia Blanca","Schema:PostalAddress",""
"Estadísticas Criminales","Indicador Criminal","localidad_nombre","alfanumérico","Nombre de la localidad donde se produce el hecho.","","",""
"Estadísticas Criminales","Indicador Criminal","barrio_nombre","alfanumérico","Nombre del barrio donde se produce el hecho.","Bella Vista","Schema:PostalAddress",""
"Estadísticas Criminales","Indicador Criminal","delito_tipo","alfanumérico","Tipificación del delito.","Homicidio","Schema:Thing",""
"Estadísticas Criminales","Indicador Criminal","victima_sexo","alfanumérico","Genero de la victima.","Mujer","Schema:Person",""
"Estadísticas Criminales","Indicador Criminal","victimario_sexo","alfanumérico","Genero del victimario.","Varón","Schema:Person",""
"Estadísticas Criminales","Indicador Criminal","victima_edad","alfanumérico","Las edades pueden ser exactas 20, 25 o por rangos, entre 0 y 10; entre 10 y 25, etc.","45","Schema:Person",""
"Estadísticas Criminales","Indicador Criminal","victimario_edad","alfanumérico","Las edades pueden ser exactas 20, 25 o por rangos, entre 0 y 10; entre 10 y 25, etc.","48","Schema:Person",""
"Estadísticas Criminales","Indicador Criminal","vinculo_victima_victimario","alfanumérico","Vinculo si existia entre la victima y el victimario, generalmente aplica a casos de violencia familiar o de genero.","Pareja","vCard:related:type_value",""
"Estadísticas Criminales","Indicador Criminal","situacion_victimario","alfanumérico","Situación actual del victimario.","Suicidio","Schema:Thing",""
"Estadísticas Criminales","Indicador Criminal","casos_cantidad","alfanumérico","Cantidad en numeros de casos.","2","Schema:Thing",""
