"recurso","clase","titulo","tipo_dato","descripcion","ejemplo","estandar_mapeo","notas"
"Declaración Personal","Declaración","declaracion_id","alfanumérico","Identificador de la declaración jurada.","2011889182","schema:Thing",""
"Declaración Personal","Declaración","declaracion_presentacion_fecha","fecha","Fecha en que se presenta la declaración jurada.","08-02-2017","",""
"Declaración Personal","Declaración","declaracion_descripcion","texto","Título o descripción de la declaración jurada.","Anual 2016 Rectificativa 1","schema:Thing",""
"Declaración Personal","Persona","persona_id","alfanumérico","Número de identificación de la persona según el sistema de identificación oficial principal en uso en el país donde reside.","578379323","popolo:Person",""
"Declaración Personal","Persona","persona_id_tipo","alfanumérico","Tipo de identificación personal utilizado.","DNI","",""
"Declaración Personal","Persona","persona_otro_id","alfanumérico","Número de identificación de la persona según algún sistema de identificación oficial alternativo en uso en el país donde reside.","27173460711","popolo:Person","CUIT/CUIL"
"Declaración Personal","Persona","persona_otro_id_tipo","alfanumérico","Tipo de identificación personal alternativo utilizado.","CUIL","",""
"Declaración Personal","Persona","persona_nombre","alfanumérico","Nombre completo de la persona.","Juan Pérez","popolo:Person",""
"Declaración Personal","Persona","persona_genero","alfanumérico","Género según el cual se identifica la persona declarado según la normativa vigente para la presentación de declaraciones juradas en el país.","Masculino","popolo:Person",""
"Declaración Personal","Persona","persona_fecha_nacimiento","fecha","Fecha de nacimiento de la persona.","1966-02-18","popolo:Person",""
"Declaración Personal","Persona","persona_nacionalidad","numerico","Nacionalidad de la persona.","Argentino","popolo:Person:nationalIdentity",""
"Declaración Personal","Persona","persona_estado_civil","alfanumérico","Estado civil de la persona.","Casado","popolo:Person",""
"Declaración Personal","Persona","persona_estudios","alfanumérico","Máximo nivel de estudio alcanzado (primario/secundario/tecnico/universitario/posgrados/etc)","Universitario","",""
"Declaración Personal","Persona","persona_retiro_voluntario","alfanumérico","Respuesta a pregunta si se ha acogido a retiro voluntario.","No","",""
"Declaración Personal","Persona","persona_sin_actividad","alfanumérico","Respuesta a pregunta si ha suspendido actividad o goza de licencia.","No","",""
"Declaración Personal","Persona","persona_sin_actividad_desde","fecha","Fecha desde cuando ha suspendido actividad o goza de licencia.","N/A","Schema:Date",""
"Declaración Personal","Persona","persona_horas_por_semana","numerico","Carga horaria de trabajo semanal.","40","Schema:Thing",""
"Declaración Personal","Persona","persona_es_proveedor","alfanumérico","Indica si la persona es o fue proveedor, contratista, etc en los últimos 3 años.","No","",""
"Declaración Personal","Miembro","miembro_organizacion_id","alfanumérico","Identificador de la organización de la cual es miembro.","2","popolo:Membership",""
"Declaración Personal","Miembro","miembro_fecha_ingreso","fecha","Fecha de ingreso a la organización de la cual es miembro.","2002-31-08","popolo:Membership",""
"Declaración Personal","Miembro","puesto_nombre","alfanumérico","","Jefe","popolo:Post:label",""
"Declaración Personal","Miembro","puesto_rol","alfanumérico","La función que cumple el titular del puesto","Jefe de Sección","popolo:Post",""
"Declaración Personal","Organización","organizacion_nombre","alfanumérico","El nombre principal de la organización, por ejemplo su nombre legal","Ministerio de Modernización","popolo:Organization",""
"Declaración Personal","Organización","organizacion_clasificacion","alfanumérico","La clasificación de la organización, por ejemplo ""Poder Ejecutivo""","Poder Ejecutivo","popolo:Organization",""
"Declaración de Grupo Familiar","Declaración","declaracion_id","alfanumérico","Identificador de la declaración jurada","2011889182","Schema:Thing",""
"Declaración de Grupo Familiar","Persona","persona_id","alfanumérico","Número de identificación de la persona según el sistema de identificación oficial principal en uso en el país donde reside.","579129534","popolo:Person","DNI"
"Declaración de Grupo Familiar","Persona","persona_id_tipo","alfanumérico","Tipo de identificación personal utilizado.","DNI","",""
"Declaración de Grupo Familiar","Persona","persona_otro_id","alfanumérico","Número de identificación de la persona según algún sistema de identificación oficial alternativo en uso en el país donde reside.","27461236079","popolo:Person","CUIT/CUIL"
"Declaración de Grupo Familiar","Persona","persona_otro_id_tipo","alfanumérico","Tipo de identificación personal alternativo utilizado.","CUIL","",""
"Declaración de Grupo Familiar","Persona","persona_nombre","alfanumérico","Nombre completo de la persona.","Ana Pérez","popolo:Person",""
"Declaración de Grupo Familiar","Persona","persona_genero","alfanumérico","Género según el cual se identifica la persona declarado según la normativa vigente para la presentación de declaraciones juradas en el país.","Femenino","popolo:Person",""
"Declaración de Grupo Familiar","Persona","persona_fecha_nacimiento","fecha","Fecha de nacimiento de la persona.","1966-02-18","popolo:Person",""
"Declaración de Grupo Familiar","Persona","persona_nacionalidad","numerico","Nacionalidad de la persona.","Argentina","popolo:Person:national_identity",""
"Declaración de Grupo Familiar","Persona","persona_relacionado_con_id","alfanumérico","Identificador de la persona con la cual mantiene el vínculo.","578379323","vCard:related",""
"Declaración de Grupo Familiar","Persona","persona_relacionado_con_nombre","alfanumérico","Nombre de la persona con la cual mantiene el vínculo.","Juan Pérez","foaf:knows",""
"Declaración de Grupo Familiar","Persona","persona_tipo_relacion","alfanumérico","Describe tipo de relación (Esposa/Esposo, Hija/Hijo, Madre/Padre, etc)","Hija","vCard:related:type_value","Tipo de vínculo (https://tools.ietf.org/html/rfc6350#section-6.6.6)"
"Declaración de Bienes y deudas","Declaración","declaracion_id","alfanumérico","Identificador de la declaración jurada.","2011889182","Schema:Thing",""
"Declaración de Bienes y Deudas","Bienes","bienes_momento","numerico","Describe el momento en el cual se declara el bien.","Inicio del período","Schema:Thing","Momento en el que se declaran los bienes Inicio del período | Fin del período"
"Declaración de Bienes y Deudas","Bienes","bienes_tipo","alfanumérico","Tipo de bien.","Inmueble","Schema:Thing",""
"Declaración de Bienes y Deudas","Bienes","bienes_descripcion","texto","Descripción del concepto declarado.","Apartamento de 300mts2","Schema:Thing",""
"Declaración de Bienes y Deudas","Bienes","bienes_origen_fondos","alfanumérico","Origen de los fondos Ingresos propios | Donación, etc.","Herencia","Schema:Thing",""
"Declaración de Bienes y Deudas","Bienes","bienes_porcentaje_titularidad","numerico","Valor numérico que indica en que porcentaje se es titular del bien. 25, 50, 100, etc","100","Schema:Thing",""
"Declaración de Bienes y Deudas","Bienes","bienes_moneda","alfanumérico","Tipo de moneda.","USD","Schema:Thing","Moneda en la cual se declara el importe. Campo opcional si solo se acepta en moneda nacional.
 https://www.currency-iso.org/en/home/tables/table-a1.html"
"Declaración de Bienes y Deudas","Bienes","bienes_importe","numerico","Valor del bien en moneda.","450000","Schema:Thing",""
"Declaración de Bienes y Deudas","Deudas","deudas_momento","alfanumérico","Describe el momento en el cual se declara la deuda.","Inicio del período","Schema:Thing",""
"Declaración de Bienes y Deudas","Deudas","deudas_tipo","alfanumérico","Tipo de deuda.","Común","Schema:Thing",""
"Declaración de Bienes y Deudas","Deudas","deudas_descripcion","texto","Descripción de las dedudas declaradas.","Kooj S.A. CUIT 31579842356","Schema:Thing",""
"Declaración de Bienes y Deudas","Deudas","deudas_clasificacion","alfanumérico","Clasificación de las deudas declaradas.","Otras deudas","Schema:Thing",""
