"recurso","clase","titulo","tipo_dato","descripcion","ejemplo","estandar_mapeo","notas"
"Norma","Norma","norma_id","numérico","Identificador único de la norma","","akn:identification",""
"Norma","Norma","norma_tipo","alfanumérico","Tipo de norma","","akn:akomantosoType",""
"Norma","Norma","norma_numero","numérico","Número asignado a la norma","","akn:FRBRnumber",""
"Norma","Norma","norma_nombre","alfanumérico","Nombre o título resumido","","akn:docTitle",""
"Norma","Norma","norma_organismo_origen","alfanumérico","Nombre del organismo que la origina","","akn:TLCorganization",""
"Norma","Norma","norma_fecha_sancion","fecha","Fecha en la que se sanciona la norma","","akn:docDate",""
"Norma","Norma","norma_fecha_boletin","fecha","Fecha de publicación en el boletón oficial","","akn:docDate",""
"Norma","Norma","norma_numero_boletin","numérico","Numero del boletín en el cual se publica la norma","","akn:num",""
"Norma","Norma","norma_pagina_boletin","numérico","Página del boletin en el cual se publica la norma","","akn:num",""
"Norma","Norma","norma_texto_resumido","texto","Resumen del texto de la norma para el boletín","","akn:paragraph",""
"Norma","Norma","norma_observaciones","texto","Texto con información adicional sobre la norma","","akn:summary",""
"Norma","Norma","norma_url_original","url","Enlace al texto original de la norma","","akn:linkType",""
"Norma","Norma","norma_url_texto_actual","url","Enlace al texto actual modificado de la norma","","akn:linkType",""
"Norma","Norma","norma_modificada_por","numérico","Identificador de la norma que modifica a esta","","akn:overrules",""
"Norma","Norma","norma_modifica_a","numérico","Identificador de la norma a la cual se modifica","","akn:afectedDocument",""
"Norma","Norma","norma_region","alfanumérico","Nombre de la provincia / ciudad donde se promulga la norma","","akn:TLClocation",""
"Articulo","Articulo","articulo_norma_id","numérico","Identificador único de la norma","","akn:identification",""
"Articulo","Articulo","articulo_norma_fecha_sancion","fecha","Fecha en la que se sanciona la norma","","akn:docDate",""
"Articulo","Articulo","articulo_numero","numérico","Numero del articulo","","akn:FRBRnumber",""
"Articulo","Articulo","articulo_secuencia","alfanumerico","Secuencia del articulo","","akn:num",""
"Articulo","Articulo","articulo_titulo","alfanumerico","Titulo del artículo","","akn:docTitle",""
"Articulo","Articulo","articulo_texto","texto","Texto del artículo","","akn:amendmentContent",""
"Articulo","Articulo","articulo_notas","texto","Notas del artículo","","akn:summary",""
