"recurso","clase","titulo","tipo_dato","descripcion","ejemplo","estandar_mapeo","notas"
"Declaración","Declaración","declaracion_id","alfanumérico","Identificador único de la declaración, número de inscripción.","10529","BO:EntityStatement",""
"Declaración","Declaración","declaracion_fecha","fecha","Fecha de vencimiento de la declaración","2020-12-31","BO:EntityStatement",""
"Declaración","Declaración","declaracion_documentacion","alfanumérico","Descripción del conjunto de documentos que tiene la parte interesada. Ver interes.","Declaración Jurada de Interes","BO:EntityStatement",""
"Declaración","Entidad (Organización, Empresa, etc)","entidad_id","alfanumérico","Identificadores oficiales para la entidad (CUIT/CUIL)","30628707093","BO:EntityStatement",""
"Declaración","Entidad (Organización, Empresa, etc)","entidad_fecha_preinscripcion","alfanumérico","Fecha de registro","2018-01-01","BO:EntityStatement",""
"Declaración","Entidad (Organización, Empresa, etc)","entidad_tipo","alfanumérico","Tipo de entidad (SA / SRL / etc)","SRL","BO:EntityStatement",""
"Declaración","Entidad (Organización, Empresa, etc)","entidad_nombre","alfanumérico","Nombre de la entidad o Razón social","HAL2000","BO:EntityStatement",""
"Declaración","Entidad (Organización, Empresa, etc)","entidad_jurisdiccion","alfanumérico","Jurisdicción expresada utilizando la codificación ISO_3166-2","CABA","BO:EntityStatement",""
"Declaración","Entidad (Organización, Empresa, etc)","entidad_correo","alfanumérico","Correo electronico de la entidad","info@hal2000.com","Schema:ContactPoint",""
"Declaración","Entidad (Organización, Empresa, etc)","entidad_telefono","alfanumérico","Telefono de contacto de la entidad","+541152864897","Schema:ContactPoint",""
"Declaración","Entidad (Organización, Empresa, etc)","entidad_domicilio_legal","alfanumérico","Domicilio leglamente establecido por la entidad","Av. Cordoba 1555","BO:EntityStatement",""
"Declaración","Entidad (Organización, Empresa, etc)","entidad_estado","alfanumérico","Estado de la entidad","Inscripto","No estandarizado",""
"Persona","Declaración","declaracion_id","alfanumérico","Identificador único de la declaración, número de inscripción.","10529","BO:EntityStatement",""
"Persona","Persona","persona_id","alfanumérico","DNI","579320998","Bo:PersonStatement",""
"Persona","Persona","persona_tipo","alfanumérico","Se utiliza a la persona para registrar a representate legal, apoderado o cargo.","Socio","Bo:PersonStatement",""
"Persona","Persona","persona_nombre","alfanumérico","Nombre completo habitual","Andrea Martinez","Bo:PersonStatement",""
"Persona","Persona","persona_identificador_otro_id","alfanumérico","CUIT / NIT","30-62870709-3","Bo:PersonStatement",""
"Persona","Persona","persona_limite_oferta","alfanumérico","Monto límite por oferta electronica, solo aplica a representates legales o apoderados","","No estandarizado",""
"Intereses","Declaración","declaracion_id","alfanumérico","Identificador único de la declaración, número de inscripción.","10529","BO:EntityStatement",""
"Intereses","Intereses","clase_id","alfanumérico","Identificador de la clase de interes","584798","Schema:Product",""
"Intereses","Intereses","clase_descripcion","alfanumérico","Descripción de la clase de interes o tipo de interes","Serv. Detección Incendio","Schema:Thing",""
"Intereses","Intereses","clase_rubro_id","alfanumérico","Identificador del rubro asociado a la clase","58","Schema:Product",""
"Intereses","Intereses","clase_rubro_descripcion","alfanumérico","Descripción del rubro asociado a la clase","Serv. Profesional","Schema:Thing",""
