indice_tiempo,oferta_global_pib,oferta_global_importacion,demanda_global_exportacion,demanda_global_ibif,demanda_global_consumo_priv,demanda_global_consumo_publico
1993-01-01,236520.033577,22027.5999938,16340.9597519,45069.4134803,31952.717001,163675.543497
1994-01-01,250307.886,26682.25975,18840.403,51231.4255,32094.804,173608.0525
1995-01-01,243186.10175,24065.62925,23084.79625,44528.27725,32338.89925,166008.0465
1996-01-01,256626.244,28284.11475,24850.043,48483.8615,33040.55475,175195.86475
1997-01-01,277441.31725,35884.496,27876.14225,57047.5,34104.32325,190922.4345
1998-01-01,288123.30675,38903.79175,30837.53425,60780.6695,35249.1645,197557.1375
1999-01-01,278369.01375,34520.59125,30448.89575,53116.3155,36173.34075,193609.614
2000-01-01,276172.68625,34466.198,31271.744,49502.14325,36382.08125,192332.4635
2001-01-01,263996.6745,29659.3415,32128.89975,41749.587,35629.18925,181289.98375
2002-01-01,235235.5975,14812.00725,33122.632,26532.874,33819.8895,155267.2675
2003-01-01,256301.80075,20376.193,35108.456,36659.459,34313.93775,167951.00325
2004-01-01,279141.288,28551.48425,37957.2115,49279.55275,35246.59075,183905.70675
2005-01-01,304763.52975,34301.406,43083.1125,60458.44275,37402.56325,200316.7775
2006-01-01,330564.97025,39575.4185,46241.69975,71438.1715,39365.06475,215881.60425
2007-01-01,359169.90275,47685.4165,50446.204,81187.4775,42341.26575,235240.645
2008-01-01,383444.18325,54406.18425,51029.939,88553.153,45260.7835,250628.7875
2009-01-01,386704.3845,44055.19625,47761.158,79527.281,48535.01425,251762.88025
2010-01-01,422136.13025,59023.55,54734.016,96409.314,53097.343,274395.57625
2011-01-01,459571.1045,69527.1735,57064.30975,112365.92175,58881.473,303623.485
2012-01-01,468301.014942,65655.9833486,53141.1132788,106706.819487,62643.7701039,316988.170499
