id,nombre,requerido,descripcion,ejemplo,variable_data_json
1,Datasets,Si,Contiene una lista de los datasets que forman parte del catálogo.,"[{...}, {...}]",dataset
2,Nombre,Si,"Nombre dado al catálogo. Debe ser claro, breve y lo suficientemente abstracto como para abarcar la multiplicidad de datasets que contiene.",Datos Argentina,title
3,Descripción,Si,Descripción del contenido del catálogo.,Portal de Datos Abiertos del Gobierno de la República Argentina,description
4,Autor,Si,Responsable de la publicación del catálogo.,Ministerio de Modernización,publisher -> name
5,Correo electrónico del autor,Si,Correo electrónico de contacto del responsable de la publicación del catálogo.,datosargentina@jefatura.gob.ar,publisher -> mbox
6,Fecha de creación o publicación,Recomendado,"Fecha de creación o publicación del catálogo. Se escribe según el formato ISO-8601, tipeado como fecha simple o fecha con hora, con el mayor detalle posible que sea relevante para el dataset.","2016-04-14T19:48:05.433640, para especificar fecha y hora; 2016-04-14 para especificar fecha únicamente",issued
7,Fecha de última actualización/ modificación,Recomendado,"Fecha de última actualización/modificación del catálogo. Se escribe según el formato ISO-8601, tipeado como fecha simple o fecha con hora, con el mayor detalle posible que sea relevante para el dataset.","2016-04-19T19:48:05.433640, para especificar fecha y hora; 2016-04-19, para especificar fecha únicamente",modified
8,Idioma(s),Recomendado,Lenguaje para la descripción de los metadatos de los datasets contenidos en el catálogo. Hay 2 estándares ISO que pueden ser utilizados para este campo: (a) ISO 639-1 (2 letras); (b) ISO 639-2/T (3 letras) es el más recomendado. Puede definirse 1 o más lenguajes en una lista. (Link a los estándares ISO: https://www.loc.gov/standards/iso639-2/php/code_list.php),"[""es""] para un lenguaje ISO 639-1; [""spa"", ”eng""] para dos lenguajes ISO 639-2",language
9,Taxonomía temática global,Si,"Es el sistema de clasificación temática global de la Administración Pública Nacional. Compone una lista de temas globales y está publicada en ""http://datos.gob.ar/superThemeTaxonomy.json"". ",http://datos.gob.ar/superThemeTaxonomy.json,superThemeTaxonomy
10,Taxonomía temática específica,Recomendado,"Es el sistema de clasificación temática específica, creado por la organización responsable del catálogo. Compone una lista de temas específicos a los datasets del catálogo. Si se clasifica algún dataset del catálogo como perteneciente a uno o más temas, este campo es obligatorio ya que se debe explicitar una taxonomía temática para poder usar sus temas.","[{...}, {...}]",themeTaxonomy
11,Licencia,Recomendado,"Indica la licencia bajo la cual todos los datasets y distribuciones del catálogo están disponibles mediante un enlace a la licencia o documento de la licencia seleccionada, o mediante el título textual de la licencia tal como aparece en la lista de http://opendefinition.org/licenses/ . Se recomienda utilizar la licencia ""Open Database License (ODbL) v1.0"". Un dataset o distribución que especifique una licencia diferente, sobreescribe a la licencia general del catálogo.","http://opendatacommons.org/licenses/dbcl/1-0/, si se utiliza un enlace. Open Database License (ODbL) v1.0, si se consigna el nombre de la licencia a utilizar",license
12,Página web del catálogo,Recomendado,Dirección web de acceso a la página principal del catálogo. Enlace a la página principal del catálogo.,http://datos.gob.ar,homepage
13,Derechos sobre el catálogo,No,"Información sobre derechos aplicables al catálogo en el caso que no se hayan especificado en la licencia. Los datasets y sus distribuciones heredan la información sobre derechos aplicables al catálogo, a menos que especifiquen unos derechos distintos.",,rights
14,Cobertura geográfica,No,"El área geográfica cubierta por el catálogo. Una región o un lugar determinado. Puede tomar valores: a) de países y, provincias y municipios argentinos, según las recomendaciones de la “Guía para la identificación y uso de entidades interoperables”; b) un área de coordenadas representada por latitud/ longitud en el orden: minima longitud, minima latitud, maxima longitud, maxima latitud; c) un punto geográfico representado por latitud/longitud; d) Si la referencia geográfico no está identificada en la “Guía para la identificación y uso de entidades interoperables” indicar la URIs según geonames.org; ej : http://sws.geonames.org/6255146","ARG, es el código para la República Argentina. 06007, es el código de un departamento. [-58.111111, -35.111111, -57.111111, -33.111111], es un bounding box.  [-58.111111, -35.111111], es un punto geográfico. http://sws.geonames.org/6255146",spatial
