id,nombre,requerido,descripcion,ejemplo,variable_data_json
1,Título,Si,"Nombre asignado al dataset tal como será publicado. Debe ser claro y lo suficientemente abstracto como para abarcar la multiplicidad de distribuciones que contiene. Se recomienda no exceder los 100 caracteres en la mayoría de los casos. En caso de que un título más largo se juzgue necesario o relevante, este no deberá exceder los 200 caracteres.",Sistema de contrataciones electrónicas,title
2,Descripción,Si,"Descripción del contenido del dataset de un modo claro y conciso. Se recomienda no exceder los 500 caracteres en la mayoría de los casos. En caso de que una descripción más larga se juzgue necesaria o relevante, esta no deberá exceder los 1500 caracteres.",Datos correspondiente al Sistema de Contrataciones Electrónicas (Argentina Compra),description
3,Autor,Si,"Responsable de la publicación del dataset. En el caso de organizaciones, detallar la estructura jerárquica separada por puntos, de manera jerárquicamente descendiente. Si la organización es parte de la Administración Pública Nacional y está listada en el dataset llamado ""Estructura Organica del Poder Ejecutivo Nacional"" (http://datos.gob.ar/dataset/estructura-organica-pen), deberá utilizarse la denominación allí documentada.",Ministerio de Modernización. Secretaría de Modernización Administrativa. Oficina Nacional de Contrataciones.,publisher -> name
4,Correo electrónico del autor,Recomendado,Correo electrónico de contacto del responsable de la publicación del dataset.,onc@modernizacion.gob.ar,publisher -> mbox
5,Área/Persona de contacto,Recomendado,Área/persona de contacto que puede brindar información relevante sobre el dataset.,Ministerio de Modernización. Secretaría de Modernización Administrativa. Oficina Nacional de Contrataciones. Dirección de Compras Electrónicas.,contactPoint -> fn
6,Correo electrónico del área/persona de contacto,Recomendado,Correo electrónico del área/persona de contacto que puede brindar información relevante sobre el dataset.,onc-compraselectronicas@modernizacion.gob.ar,contactPoint -> hasEmail
7,Temática(s) globales,Si,"Temática/s o categoría/s globales a la/s que se refiere el dataset al ser publicado. Un dataset puede pertenecer a más de una categoría global, de manera que el tipo de valor de este campo es una lista de categorías. La/s categoría/s o temática/s globales deben adoptarse según el campo ""Código (authority code)"" del Anexo “Taxonomía temática para los datasets”, que contiene una lista predefinida de temática/s globales.","[""ECON""]",superTheme
8,Temática(s) específicas,Recomendado,"Temática/s o categoría/s específica/s a la/s que se refiere el dataset al ser publicado. Un dataset puede pertenecer a más de una categoría específica, de manera que el tipo de valor de este campo es una lista de categorías. La taxonomía a utilizar debe ser creada por la autoridad responsable del Catálogo. Se deben usar los ids (ver campo ""id"" de la clase Theme) de los temas definidos en la taxonomía para componer la lista (no se deben usar las etiquetas ni las descripciones).","[""Contrataciones"", ""Compras"", ""Macroeconomía""]",theme
9,Etiqueta(s),Recomendado,"Palabras que describen el título o el contenido del recurso. Es necesario que las etiquetas se encuentren correctamente escritas, en plural y respetando la existencia de tags anteriores. Etiquetas que colaboran en la búsqueda de los usuarios. Cuanto más amplia y uniforme sea la lista de tags mayor será su eficiencia. A tales fines se recomienda ver el Anexo “Pautas para la selección de etiquetas”.","[""bienes"", ""compras"",""contrataciones""]",keyword
10,Distribuciones,Si,"Lista de distribuciones que pertenecen al dataset y sus metadatos. Cada distribución se representa con un objeto (""{}"") donde se describen los metadatos especificados para la clase ""distribution"" de este perfil de metadatos.","[{...}, {...}]",distribution
11,Frecuencia de actualización,Si,"Frecuencia con la que se actualiza el dataset. Se recomienda especificar períodos normalizados con formato ISO-8601, agregando el campo “eventual” para datasets que se publican con una frecuencia eventual o no especificada. Anexo ""Especificación de frecuencias según ISO-8601"".",“R/P1Y” para datasets que se actualizan anualmente.,accrualPeriodicity
12,Fecha de publicación,Si,"Fecha de publicación del dataset. Según el formato ISO-8601, tipeado como fecha simple o fecha con hora, con el mayor detalle posible que sea relevante para el dataset.","""2016-04-14T19:48:05.433640"" para especificar fecha y hora; ""2016-04-14"" para especificar fecha únicamente.",issued
