id,nombre,requerido,descripcion,ejemplo,variable_data_json
1,URL de acceso,Si,"URL que permite el acceso a la distribución del dataset. Puede ser una página, feed u otro tipo de recurso que dé acceso indirecto a las distribuciones. Si las distribuciones son solo accesibles a través de la página de referencia del dataset, debe completarse el valor de la URL de acceso a la distribución con el mismo valor de la página de referencia del dataset.",http://datos.gob.ar/dataset/sistema-de-contrataciones-electronicas-argentina-compra/archivo/fa3603b3-0af7-43cc-9da9-90a512217d8a,accessURL
2,Descripción,Recomendado,Breve descripción de la distribución. Se recomienda no escribir más de una línea. Toda información adicional puede ser incluida en la descripción del dataset.,Listado de las convocatorias abiertas durante el año 2015 en el sistema de contrataciones electrónicas,description
3,Formato del archivo,Recomendado,"Indica el formato del archivo de la distribución. Si el tipo de la distribución está definido por IANA (http://www.iana.org/assignments/media-types/media-types.xml), debe usarse esa definición. En caso contrario deberán ponerse los caracteres después del punto final del archivo, que determinan el formato (cuando no está definido por IANA).","""text/csv"" definición de IANA; ""csv"" caracteres finales después del punto",format
4,Tipo de archivo,No,"Indica el tipo de archivo de la distribución, sólo si este está definido por IANA (http://www.iana.org/assignments/media-types/media-types.xml). En caso contrario este campo permanece vacío.","""text/csv"" definición de IANA; """" cuando el formato no tiene definición en IANA",mediaType
5,URL de descarga,Si,"URL que permite la descarga directa de la distribución del dataset, vincula directamente a un archivo descargable en un formato dado.",http://datos.gob.ar/dataset/becaceb2-dbd0-4879-93bd-5f02bd3b8ca2/resource/bf2f67f4-9ab3-479b-a881-56b43565125e/download/contratos-2015.csv,downloadURL
6,Título,Si,Nombre asignado a la distribución.,Convocatorias abiertas durante el año 2015,title
7,Licencia,Recomendado,"Indica la licencia bajo la cual la distribución está disponible mediante un enlace a la licencia o documento de la licencia seleccionada, o mediante el título textual de la licencia tal como aparece en la lista de http://opendefinition.org/licenses/ . Se recomienda utilizar la licencia ""Open Database License (ODbL) v1.0"". Una distribución hereda por default la licencia del dataset al que pertenece, salvo que se especifique una licencia diferente en este campo.","""http://opendatacommons.org/licenses/dbcl/1-0/"" si se utiliza un enlace; ""Open Database License (ODbL) v1.0"" si se consigna el nombre de la licencia a utilizar",license
8,Tamaño,No,Tamaño de la distribución en bytes. El tamaño puede ser aproximado cuando no se conozca el tamaño exacto.,Ejemplo para un archivo de 5Kb aproximadamente: ”5120”,byteSize
9,Fecha de publicación,Si,"Fecha de publicación de la distribución. Según el formato ISO-8601, tipeado como fecha simple o fecha con hora, con el mayor detalle posible que sea relevante para el dataset.","""2016-04-14T19:48:05.433640"" para especificar fecha y hora;  ""2016-04-14"" para especificar fecha únicamente",issued
10,Fecha de última actualización/ modificación,Recomendado,"Fecha de última actualización/modificación de la distribución. Según el formato ISO-8601, tipeado como fecha simple o fecha con hora, con el mayor detalle posible que sea relevante para el dataset.","""2016-04-19T19:48:05.433640"" para especificar fecha y hora; ""2016-04-19"" para especificar fecha únicamente",modified
11,Derechos sobre la distribución,No,"Información sobre derechos aplicables a la distribución que no se hayan especificado en la licencia. Si se especifican, estos derechos sobreescriben a los del catálogo. En caso contrario, las distribuciones heredan los derechos especificados para el catálogo.",,rights
12,Campos de la distribución,Recomendado,"Lista de campos que contiene una distribución tabular (no aplica para aquellas distribuciones que no sean tablas) y sus metadatos. Cada campo se representa con un objeto (""{}"") donde se describen los metadatos especificados para la clase ""field"" de este perfil de metadatos (como ""nombre"", ""tipo"" y ""descripción"").","[{...}, {...}]",field
